"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-12-01,"AS","KTN","Ketchikan, AK","SIT","Sitka, AK","1720",5.00,5.00,"1829",7.00,7.00,0.00,,,,,,
2017-12-01,"AS","JNU","Juneau, AK","ANC","Anchorage, AK","2046",-4.00,0.00,"2227",3.00,3.00,0.00,,,,,,
2017-12-01,"AS","SIT","Sitka, AK","JNU","Juneau, AK","1912",-7.00,0.00,"2007",17.00,17.00,0.00,0.00,0.00,17.00,0.00,0.00,
2017-12-01,"AS","SEA","Seattle, WA","KTN","Ketchikan, AK","1530",9.00,9.00,"1637",7.00,7.00,0.00,,,,,,
2017-12-01,"AS","KTN","Ketchikan, AK","JNU","Juneau, AK","2115",-25.00,0.00,"2159",-18.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","KTN","Ketchikan, AK","1915",1.00,1.00,"2018",3.00,3.00,0.00,,,,,,
2017-12-01,"AS","JNU","Juneau, AK","SIT","Sitka, AK","2247",-26.00,0.00,"2254",-38.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","JNU","Juneau, AK","2005",-8.00,0.00,"2133",-11.00,0.00,0.00,,,,,,
2017-12-01,"AS","SIT","Sitka, AK","JNU","Juneau, AK","0600",47.00,47.00,"0730",51.00,51.00,0.00,0.00,47.00,4.00,0.00,0.00,
2017-12-01,"AS","JNU","Juneau, AK","ANC","Anchorage, AK","0730",33.00,33.00,"0944",35.00,35.00,0.00,0.00,0.00,2.00,0.00,33.00,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","1145",-7.00,0.00,"1551",-19.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","JNU","Juneau, AK","1020",11.00,11.00,"1149",-14.00,0.00,0.00,,,,,,
2017-12-01,"AS","JNU","Juneau, AK","SEA","Seattle, WA","1325",-9.00,0.00,"1647",-5.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","1020",-3.00,0.00,"1440",1.00,1.00,0.00,,,,,,
