,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
96,2017-08-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1810,-4.0,0.0,1920.0,-5.0,0.0,0.0,,,,,,
97,2017-08-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1455,55.0,55.0,1655.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,
98,2017-08-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",1205,-1.0,0.0,1311.0,-9.0,0.0,0.0,,,,,,
99,2017-08-01,WN,CLE,"Cleveland, OH",BWI,"Baltimore, MD",555,-4.0,0.0,703.0,-7.0,0.0,0.0,,,,,,
100,2017-08-01,WN,CLE,"Cleveland, OH",DEN,"Denver, CO",525,0.0,0.0,626.0,-9.0,0.0,0.0,,,,,,
101,2017-08-01,WN,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",1130,9.0,9.0,1254.0,-1.0,0.0,0.0,,,,,,
102,2017-08-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1710,42.0,42.0,1802.0,37.0,37.0,0.0,4.0,0.0,0.0,0.0,33.0,
103,2017-08-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",710,6.0,6.0,721.0,-4.0,0.0,0.0,,,,,,
104,2017-08-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1555,-2.0,0.0,1607.0,-3.0,0.0,0.0,,,,,,
105,2017-08-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1125,-1.0,0.0,1128.0,-12.0,0.0,0.0,,,,,,
106,2017-08-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",2230,-5.0,0.0,2233.0,-12.0,0.0,0.0,,,,,,
107,2017-08-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",1830,2.0,2.0,1840.0,-5.0,0.0,0.0,,,,,,
108,2017-08-01,WN,CLE,"Cleveland, OH",MDW,"Chicago, IL",545,0.0,0.0,555.0,-5.0,0.0,0.0,,,,,,
109,2017-08-01,WN,CLE,"Cleveland, OH",PHX,"Phoenix, AZ",1850,25.0,25.0,2018.0,13.0,13.0,0.0,,,,,,
